id,full_name,party,gender,state,district,congressional terminology_x,congressional terminology_y,government budget_x,government budget_y,agriculture_x,agriculture_y,border enforcement_x,border enforcement_y,trade policy_x,trade policy_y,military_x,military_y,foreign policy_x,foreign policy_y,financial sector_x,financial sector_y,iraq & afghanistan wars_x,iraq & afghanistan wars_y,sports_x,sports_y,drugs war_x,drugs war_y,veteran affairs_x,veteran affairs_y,energy policy_x,energy policy_y,tobacco_x,tobacco_y,african-americans_x,african-americans_y,environment_x,environment_y,infrastructure & transportation_x,infrastructure & transportation_y,arts_x,arts_y,human rights in china_x,human rights in china_y,secondary education_x,secondary education_y,homeland security_x,homeland security_y,natural disasters_x,natural disasters_y,affordable housing_x,affordable housing_y,worker's rights_x,worker's rights_y,child welfare_x,child welfare_y,healthcare_x,healthcare_y
B000461,Brian Bilbray,Republican,0,CA,50th,-5.518,24.739,-31.789,2.111,-76.387,1.144,-11.814,3.048,-3.858,1.890,-35.449,2.813,-22.332,0.733,-58.712,0.661,-86.402,0.590,-96.601,0.366,-1.005,1.492,-8.825,7.476,-66.199,1.680,-138.306,0.566,-74.387,1.959,-5.000,8.143,-22.896,3.148,-824.764,0.000,-134.397,0.212,-21.870,1.783,-16.839,4.139,-202.764,0.724,-318.023,0.000,-119.286,0.843,-12.490,1.707,-4.999,14.357
B000463,Michael Bilirakis,Republican,0,FL,9th,-6.998,22.929,-65.056,1.266,-260.322,0.444,-60.971,1.465,-7.836,1.275,-15.566,2.662,-5.000,17.786,-55.924,0.176,-190.615,0.914,-47.521,0.924,-153.137,0.536,-3.000,16.500,-82.582,0.202,-14.897,0.961,-54.472,2.254,-169.045,0.729,-68.016,1.863,-336.481,0.358,-153.298,0.573,-39.084,0.736,-78.608,2.080,-107.869,0.973,-425.561,0.259,-111.965,0.396,-68.006,1.474,-3.000,34.714
B000556,Tom Bliley,Republican,0,VA,7th,-3.000,69.214,-33.709,1.516,-69.354,0.727,-18.907,1.396,-146.210,0.744,-11.744,1.190,-90.341,0.838,-12.998,4.286,-61.730,0.180,-49.543,0.554,-11.475,0.420,-15.000,1.164,-59.791,0.606,-87.015,0.463,-40.356,1.747,-107.414,1.547,-15.075,3.722,-100.023,0.524,-11.167,0.209,-38.066,0.920,-1.000,24.000,-98.615,0.246,-390.903,0.000,-58.986,0.566,-96.575,1.256,-10.999,20.357
B000575,Roy Blunt,Republican,0,MO,7th,-8.490,37.904,-26.215,5.504,-64.247,1.484,-25.969,1.309,-60.141,1.724,-30.246,3.519,-49.494,3.243,-31.322,0.746,-11.322,1.444,-7.194,2.766,-271.418,0.193,-40.018,5.145,-26.297,2.152,-151.569,0.371,-25.783,3.937,-12.736,0.811,-38.966,2.445,-828.064,0.163,-385.182,0.191,-17.277,2.952,-22.466,4.521,-99.460,0.969,-36.020,0.471,-50.187,1.846,-212.463,0.626,-13.971,8.592
B000576,Peter Blute,Republican,0,MA,3rd,-23.380,42.643,-3.318,8.791,-136.928,0.000,-7.048,2.000,-103.063,0.167,-4.493,1.558,-1.140,7.076,-72.805,0.711,-17.012,4.071,-157.352,0.201,-38.351,1.382,-15.550,4.765,-53.967,0.667,-302.719,0.000,-52.045,2.983,-19.903,0.937,-102.507,1.278,-257.697,0.180,-97.875,0.212,-11.374,0.325,-49.115,2.862,-65.991,1.520,-3.000,4.714,-2.737,3.458,-51.279,0.989,-8.535,7.024
B000586,Sherwood Boehlert,Republican,0,NY,24th,-6.999,54.857,-22.903,1.858,-1.000,2.312,-45.574,1.185,-17.216,0.615,-47.235,3.713,-43.304,1.257,-140.326,0.215,-78.261,0.530,-18.911,1.612,-324.112,0.352,-34.895,4.713,-4.996,4.096,-420.646,0.185,-26.579,6.857,-5.000,10.286,-6.858,3.140,-172.131,0.210,-113.150,0.389,-11.613,1.448,-5.000,9.431,-6.808,1.687,-170.045,0.207,-50.416,0.853,-152.841,0.124,-16.593,3.374
B000589,John Boehner,Republican,0,OH,8th,-18.999,41.786,-14.237,7.080,-22.617,0.885,-116.598,0.557,-142.204,0.367,-69.587,0.792,-1.864,2.142,-14.156,1.690,-93.689,1.802,-86.576,0.737,-389.034,0.157,-2.903,3.678,-92.849,1.087,-471.707,0.351,-35.139,1.825,-137.442,0.062,-119.160,0.397,-700.365,0.185,-150.240,0.245,-7.000,7.929,-7.796,2.101,-166.503,0.444,-528.493,0.210,-11.888,2.075,-10.706,3.245,-1.000,12.841
B000611,Christopher Bond,Republican,0,MO,,-16.999,43.714,-1.000,5.637,-141.872,0.559,-21.081,0.000,-86.679,0.000,-7.000,39.000,-67.025,1.594,-20.359,2.797,-131.468,1.090,-54.373,0.080,-211.610,0.431,-23.003,4.444,-135.785,0.000,-36.004,0.000,-20.721,0.000,-166.427,0.415,-146.484,0.433,-523.911,0.369,-141.665,0.000,-8.368,4.527,-4.712,1.594,-58.798,0.036,-1.000,4.503,-52.995,1.413,-1.000,7.500,-1.000,56.143
B000617,Henry Bonilla,Republican,0,TX,23rd,-3.000,72.429,-29.792,2.120,-5.000,6.857,-99.401,1.670,-108.313,1.603,-13.656,2.975,-39.850,2.858,-155.632,0.542,-32.007,1.790,-69.630,1.345,-73.889,0.963,-28.773,3.295,-180.525,0.323,-273.056,0.249,-6.393,2.983,-74.629,1.956,-64.227,0.775,-185.534,0.371,-443.882,0.185,-89.188,2.171,-53.979,2.599,-167.959,0.991,-469.187,0.114,-67.982,1.495,-234.929,0.361,-18.105,12.643
B000622,Sonny Bono,Republican,0,CA,44th,-12.068,34.724,-32.677,4.854,-5.239,2.706,-26.906,4.071,-83.956,0.485,-2.874,0.369,-28.492,0.942,-1.000,8.143,-182.297,1.055,-116.434,0.678,-285.387,0.153,-11.439,2.019,-203.627,0.213,-51.725,0.437,-7.925,0.301,-59.982,0.753,-130.245,0.286,-486.932,0.371,-295.723,0.000,-34.539,2.178,-62.123,0.185,-116.309,0.397,-151.381,0.770,-3.985,1.409,-44.061,1.003,-9.654,4.015
