id,name,district,term_start,term_end,party,clean_name,stream
D000597,Jo Ann Davis,Virginia's 1st,2001-01-03,2007-10-06,Republican,joanndavis,60
H000213,Jane Harman,California's 36th,2001-01-03,2011-02-28,Democratic,janeharman,61
W000794,Diane Watson,California's 32nd,2001-06-05,2003-01-03,Democratic,dianewatson,62
S001156,Linda Sánchez,California's 39th,2003-01-03,2013-01-03,Democratic,lindasc3a1nchez,1
W000794,Diane Watson,California's 33rd,2003-01-03,2011-01-03,Democratic,dianewatson,4
S001153,Hilda Solis,California's 32nd,2003-01-03,2009-02-24,Democratic,hildasolis,5
B001247,Ginny Brown-Waite,Florida's 5th,2003-01-03,2011-01-03,Republican,ginnybrownwaite,6
H001035,Katherine Harris,Florida's 13th,2003-01-03,2007-01-03,Republican,katherineharris,16
D000598,Susan Davis,California's 53rd,2003-01-03,2019-01-01,Democratic,susandavispolitician,18
M001145,Denise Majette,Georgia's 4th,2003-01-03,2005-01-03,Democratic,denisemajette,19
M001150,Candice Miller,Michigan's 10th,2003-01-03,2017-01-01,Republican,candicemiller,21
M001152,Marilyn Musgrave,Colorado's 4th,2003-01-03,2009-01-03,Republican,marilynmusgrave,23
B001243,Marsha Blackburn,Tennessee's 7th,2003-01-03,2019-01-03,Republican,marshablackburn,24
R000486,Lucille Roybal-Allard,California's 34th,2003-01-03,2013-01-03,Democratic,lucilleroybalallard,28
N000179,Grace Napolitano,California's 38th,2003-01-03,2013-01-03,Democratic,gracenapolitano,29
J000163,Nancy Johnson,Connecticut's 5th,2003-01-03,2007-01-03,Republican,nancyjohnson,30
K000180,Carolyn Cheeks-Kilpatrick,Michigan's 13th,2003-01-03,2011-01-03,Democratic,carolyncheekskilpatrick,33
C000191,Julia Carson,Indiana's 7th,2003-01-03,2007-12-15,Democratic,juliacarson,41
S000030,Loretta Sánchez,California's 47th,2003-01-03,2013-01-03,Democratic,lorettasanchez,46
C001036,Lois Capps,California's 23rd,2003-01-03,2013-01-03,Democratic,loiscapps,54
B001228,Mary Bono,California's 45th,2003-01-03,2013-01-03,Republican,marybono,59
B001245,Madeleine Bordallo,Guam's at-large,2003-01-03,2019-01-01,Democratic,madeleinebordallo,62
H001037,Stephanie Herseth-Sandlin,South Dakota's at-large,2004-06-01,2011-01-03,Democratic,stephaniehersethsandlin,63
M001160,Gwen Moore,Wisconsin's 4th,2005-01-03,2019-01-01,Democratic,gwenmoore,11
D000605,Thelma Drake,Virginia's 2nd,2005-01-03,2009-01-03,Republican,thelmadrake,19
W000797,Debbie Wasserman-Schultz,Florida's 20th,2005-01-03,2013-01-03,Democratic,debbiewassermanschultz,45
M000523,Cynthia McKinney,Georgia's 4th,2005-01-03,2007-01-03,Democratic,cynthiamckinney,64
M001159,Cathy McMorris-Rodgers,Washington's 5th,2005-01-03,2019-01-01,Republican,cathymcmorrisrodgers,65
F000450,Virginia Foxx,North Carolina's 5th,2005-01-03,2019-01-01,Republican,virginiafoxx,66
S001162,Allyson Schwartz,Pennsylvania's 13th,2005-01-03,2015-01-03,Democratic,allysonschwartz,67
B001253,Melissa Bean,Illinois's 8th,2005-01-03,2011-01-03,Democratic,melissabean,68
M001163,Doris Matsui,California's 5th,2005-03-03,2013-01-03,Democratic,dorismatsui,69
S001164,Jean Schmidt,Ohio's 2nd,2005-09-06,2013-01-03,Republican,jeanschmidt,70
S001166,Shelley Sekula-Gibbs,Texas's 22nd,2006-11-13,2007-01-03,Republican,shelleysekulagibbs,71
C001067,Yvette Clarke,New York's 11th,2007-01-03,2013-01-03,Democratic,yvetteclarke,16
S001174,Betty Sutton,Ohio's 13th,2007-01-03,2013-01-03,Democratic,bettysutton,30
B001258,Nancy Boyda,Kansas's 2nd,2007-01-03,2009-01-03,Democratic,nancyboyda,31
R000581,Laura Richardson,California's 37th,2007-01-03,2013-01-03,Democratic,laurarichardson,39
H001042,Mazie Hirono,Hawaii's 2nd,2007-01-03,2013-01-03,Democratic,maziehirono,50
S001170,Carol Shea-Porter,New Hampshire's 1st,2007-01-03,2011-01-03,Democratic,carolsheaporter,64
G000555,Kirsten Gillibrand,New York's 20th,2007-01-03,2009-01-25,Democratic,kirstengillibrand,71
