id,name,district,term_start,term_end,party,clean_name,stream
K000040,Elizabeth Kee,West Virginia's 5th,1951-07-17,1965-01-03,Democratic,elizabethkee,5
B001009,Vera Buchanan,Pennsylvania's 33rd,1951-07-24,1953-01-03,Democratic,verabuchanan,10
S001057,Leonor Sullivan,Missouri's 3rd,1953-01-03,1977-01-03,Democratic,leonorsullivan,2
P000287,Gracie Pfost,Idaho's 1st,1953-01-03,1963-01-03,Democratic,graciepfost,7
B001009,Vera Buchanan,Pennsylvania's 30th,1953-01-03,1955-11-26,Democratic,verabuchanan,10
S000764,Katharine St. George,New York's 28th,1953-01-03,1963-01-03,Republican,katharinestgeorge,11
F000035,Elizabeth P. Farrington,Hawaii's at-large,1954-07-31,1957-01-03,Republican,maryelizabethpruettfarrington,12
B000561,Iris Blitch,Georgia's 8th,1955-01-03,1963-01-03,Democratic,irisfairclothblitch,13
G000407,Edith Green,Oregon's 3rd,1955-01-03,1974-12-31,Democratic,edithgreen,14
G000471,Martha Griffiths,Michigan's 17th,1955-01-03,1974-12-31,Democratic,marthagriffiths,15
K000300,Coya Knutson,Minnesota's 9th,1955-01-03,1959-01-03,Democratic,coyaknutson,16
G000368,Kathryn E. Granahan,Pennsylvania's 2nd,1956-11-06,1963-01-03,Democratic,kathrynegranahan,10
D000587,Florence P. Dwyer,New Jersey's 6th,1957-01-03,1967-01-03,Republican,florencepdwyer,4
W000256,Jessica M. Weis,New York's 38th,1959-01-03,1963-01-03,Republican,jessicamweis,8
M000273,Catherine May,Washington's 4th,1959-01-03,1971-01-03,Republican,catherinedeanmay,12
S000430,Edna O. Simpson,Illinois's 20th,1959-01-03,1961-01-03,Republican,ednaosimpson,16
H000174,Julia Hansen,Washington's 3rd,1960-11-08,1974-12-31,Democratic,juliabutlerhansen,3
N000136,Catherine Norrell,Arkansas's 6th,1961-04-19,1963-01-03,Democratic,catherinedorrisnorrell,16
R000109,Louise Reece,Tennessee's 1st,1961-05-16,1963-01-03,Republican,louisegoffreece,17
R000259,Corinne Riley,South Carolina's 2nd,1962-04-10,1963-01-03,Democratic,corinneboydriley,18
K000070,Edna F. Kelly,New York's 12th,1963-01-03,1969-01-03,Democratic,ednafkelly,1
S000764,Katharine St. George,New York's 27th,1963-01-03,1965-01-03,Republican,katharinestgeorge,7
R000143,Charlotte Reid,Illinois's 15th,1963-01-03,1971-10-07,Republican,charlottethompsonreid,8
B000064,Irene Baker,Tennessee's 2nd,1964-01-07,1965-01-03,Republican,irenebaker,9
M000797,Patsy Mink,Hawaii's at-large,1965-01-03,1971-01-03,Democratic,patsymink,5
T000178,Lera Thomas,Texas's 8th,1966-03-26,1967-01-03,Democratic,leramillardthomas,7
H000440,Margaret Heckler,Massachusetts's 10th,1967-01-03,1983-01-03,Republican,margaretheckler,4
D000587,Florence P. Dwyer,New Jersey's 12th,1967-01-03,1973-01-03,Republican,florencepdwyer,7
C000371,Shirley Chisholm,New York's 12th,1969-01-03,1983-01-03,Democratic,shirleychisholm,1
M000797,Patsy Mink,Hawaii's 2nd,1971-01-03,1977-01-03,Democratic,patsymink,5
A000018,Bella Abzug,New York's 19th,1971-01-03,1973-01-03,Democratic,bellaabzug,6
G000387,Ella T. Grasso,Connecticut's 6th,1971-01-03,1975-01-03,Democratic,ellatgrasso,9
H000566,Louise Hicks,Massachusetts's 9th,1971-01-03,1973-01-03,Democratic,louisedayhicks,10
A000205,Elizabeth B. Andrews,Alabama's 3rd,1972-04-04,1973-01-03,Democratic,elizabethbandrews,8
S000142,Patricia Schroeder,Colorado's 1st,1973-01-03,1997-01-03,Democratic,patschroeder,6
J000266,Barbara Jordan,Texas's 18th,1973-01-03,1979-01-03,Democratic,barbarajordan,7
H000747,Marjorie Holt,Maryland's 4th,1973-01-03,1987-01-03,Republican,marjorieholt,8
H000752,Elizabeth Holtzman,New York's 16th,1973-01-03,1981-01-03,Democratic,elizabethholtzman,10
B001102,Yvonne Burke,California's 37th,1973-01-03,1975-01-03,Democratic,yvonnebrathwaiteburke,11
A000018,Bella Abzug,New York's 20th,1973-01-03,1977-01-03,Democratic,bellaabzug,12
B000592,Lindy Boggs,Louisiana's 2nd,1973-03-20,1991-01-03,Democratic,lindyboggs,13
C000634,Cardiss Collins,Illinois's 7th,1973-06-05,1997-01-03,Democratic,cardisscollins,16
F000078,Millicent Fenwick,New Jersey's 5th,1975-01-03,1983-01-03,Republican,millicentfenwick,3
K000162,Martha Keys,Kansas's 2nd,1975-01-03,1979-01-03,Democratic,marthakeys,9
L000381,Marilyn Lloyd,Tennessee's 3rd,1975-01-03,1995-01-03,Democratic,marilynlloyd,11
S000622,Virginia D. Smith,Nebraska's 3rd,1975-01-03,1991-01-03,Republican,virginiadsmith,14
S000716,Gladys Spellman,Marylands's 5th,1975-01-03,1981-01-03,Democratic,gladysspellman,15
M000685,Helen Stevenson-Meyner,New Jersey's 13th,1975-01-03,1979-01-03,Democratic,helenstevensonmeyner,17
B001102,Yvonne Burke,California's 28th,1975-01-03,1979-01-03,Democratic,yvonnebrathwaiteburke,18
P000273,Shirley Pettis,California's 37th,1975-04-29,1979-01-03,Republican,shirleyneilpettis,19
M000702,Barbara Mikulski,Maryland's 3rd,1977-01-03,1987-01-03,Democratic,barbaramikulski,2
O000001,Mary Oakar,Ohio's 20th,1977-01-03,1993-01-03,Democratic,maryroseoakar,5
F000088,Geraldine Ferraro,New York's 9th,1979-01-03,1985-01-03,Democratic,geraldineferraro,7
B001220,Beverly Byron,Maryland's 6th,1979-01-03,1993-01-03,Democratic,beverlybyron,9
S000663,Olympia Snowe,Maine's 2nd,1979-01-03,1995-01-03,Republican,olympiasnowe,12
R000465,Marge Roukema,New Jersey's 7th,1981-01-03,1983-01-03,Republican,margeroukema,10
M000195,Lynn Morley-Martin,Illinois's 16th,1981-01-03,1991-01-03,Republican,lynnmorleymartin,15
S000136,Claudine Schneider,Rhode Island's 2nd,1981-01-03,1991-01-03,Republican,claudineschneider,17
F000102,Bobbi Fiedler,California's 21st,1981-01-03,1987-01-03,Republican,bobbifiedler,18
K000118,Barbara B. Kennelly,Connecticut's 1st,1982-01-12,1999-01-03,Democratic,barbarabkennelly,19
A000220,Jean Spencer-Ashbrook,Ohio's 17th,1982-06-29,1983-01-03,Republican,jeanspencerashbrook,20
H000058,Katie Hall,Indiana's 1st,1982-11-02,1985-01-03,Democratic,katiehallpolitician,21
R000465,Marge Roukema,New Jersey's 5th,1983-01-03,2003-01-03,Republican,margeroukema,1
B000711,Barbara Boxer,California's 6th,1983-01-03,1993-01-03,Democratic,barbaraboxer,3
J000163,Nancy Johnson,Connecticut's 6th,1983-01-03,2003-01-03,Republican,nancyjohnson,4
K000009,Marcy Kaptur,Ohio's 9th,1983-01-03,2019-01-01,Democratic,marcykaptur,10
V000124,Barbara Vucanovich,Nevada's 2nd,1983-01-03,1997-01-03,Republican,barbaravucanovich,20
B001158,Sala Burton,California's 5th,1983-06-21,1987-02-01,Democratic,salaburton,22
M000684,Jan Meyers,Kansas's 3rd,1985-01-03,1997-01-03,Republican,janmeyers,7
B000392,Helen Delich-Bentley,Maryland's 2nd,1985-01-03,1995-01-03,Republican,helendelichbentley,21
L000411,Catherine Small-Long,Louisiana's 8th,1985-03-30,1987-01-03,Democratic,catherinesmalllong,23
S000014,Pat Saiki,Hawaii's 1st,1987-01-03,1991-01-03,Republican,patsaiki,2
S000480,Louise Slaughter,New York's 30th,1987-01-03,1993-01-03,Democratic,louiseslaughter,8
M000941,Connie Morella,Maryland's 8th,1987-01-03,2003-01-03,Republican,conniemorella,18
P000112,Liz J. Patterson,South Carolina's 4th,1987-01-03,1993-01-03,Democratic,lizjpatterson,23
P000197,Nancy Pelosi,California's 5th,1987-06-02,1993-01-03,Democratic,nancypelosi,22
U000017,Jolene Unsoeld,Washington's 3rd,1989-01-03,1995-01-03,Democratic,joleneunsoeld,24
L000480,Nita Lowey,New York's 20th,1989-01-03,1993-01-03,Democratic,nitalowey,25
L000420,Jill Long-Thompson,Indiana's 4th,1989-03-20,1995-01-03,Democratic,jilllongthompson,26
R000435,Ileana Ros-Lehtinen,Florida's 18th,1989-08-29,2013-01-03,Republican,ileanaroslehtinen,27
M000843,Susan Molinari,New York's 14th,1990-03-20,1993-01-03,Republican,susanmolinari,28
M000797,Patsy Mink,Hawaii's 2nd,1990-09-22,2002-09-28,Democratic,patsymink,29
N000147,Eleanor Holmes-Norton,DC at-large,1991-01-03,2019-01-01,Democratic,eleanorholmesnorton,2
W000187,Maxine Waters,California's 29th,1991-01-03,1993-01-03,Democratic,maxinewaters,13
H000788,Joan Horn,Missouri's 2nd,1991-01-03,1993-01-03,Democratic,joankellyhorn,14
C000633,Barbara-Rose Collins,Michigan's 13th,1991-01-03,1993-01-03,Democratic,barbararosecollins,15
D000216,Rosa DeLauro,Connecticut's 3rd,1991-01-03,2019-01-01,Democratic,rosadelauro,17
C000494,Eva M. Clayton,North Carolina's 1st,1992-11-03,2003-01-03,Democratic,evamclayton,30
J000126,Eddie Johnson,Texas's 30th,1993-01-03,2019-01-01,Democratic,eddiebernicejohnson,3
L000035,Blanche Lincoln,Arkansas's 1st,1993-01-03,1997-01-03,Democratic,blanchelincoln,5
M000087,Carolyn Maloney,New York's 14th,1993-01-03,2013-01-03,Democratic,carolynmaloney,8
H000213,Jane Harman,California's 36th,1993-01-03,1999-01-03,Democratic,janeharman,9
F000434,Elizabeth Furse,Oregon's 1st,1993-01-03,1999-01-03,Democratic,elizabethfurse,13
F000328,Tillie K. Fowler,Florida's 4th,1993-01-03,2001-01-03,Republican,tilliekfowler,14
W000738,Lynn Woolsey,California's 6th,1993-01-03,2013-01-03,Democratic,lynnwoolsey,15
M000523,Cynthia McKinney,Georgia's 11th,1993-01-03,1997-01-03,Democratic,cynthiamckinney,22
