"name","constituency","term_start","term_end","party","byelection","notes","clean_name","stream"
"Karen BRADLEY","Staffordshire Moorlands",2010-05-06,2020-01-01,"Con",FALSE,NA,"karenbradley",11
"Angie BRAY","Ealing Central and Acton",2010-05-06,2015-03-30,"Con",FALSE,NA,"angiebray",12
"Fiona BRUCE","Congleton",2010-05-06,2020-01-01,"Con",FALSE,NA,"fionabruce",13
"Mrs Jenny CHAPMAN","Darlington",2010-05-06,2020-01-01,"Lab",FALSE,NA,"jennychapman",16
"Dr Thérèse COFFEY","Suffolk Coastal",2010-05-06,2020-01-01,"Con",FALSE,NA,"theresecoffey",19
"Stella CREASY","Walthamstow",2010-05-06,2020-01-01,"Lab",FALSE,NA,"stellacreasy",20
"Tracey CROUCH","Chatham and Aylesford",2010-05-06,2020-01-01,"Con",FALSE,NA,"traceycrouch",32
"Margaret CURRAN","Glasgow East",2010-05-06,2015-03-30,"Lab",FALSE,NA,"margaretcurran",34
"Gloria DE PIERO","Ashfield",2010-05-06,2020-01-01,"Lab",FALSE,NA,"gloriadepiero",36
"Caroline DINENAGE","Gosport",2010-05-06,2020-01-01,"Con",FALSE,NA,"carolinedinenage",39
"Gemma DOYLE","West Dunbartonshire",2010-05-06,2015-03-30,"Lab",FALSE,NA,"gemmadoyle",40
"Jackie DOYLE-PRICE","Thurrock",2010-05-06,2020-01-01,"Con",FALSE,NA,"jackiedoyleprice",49
"Julie ELLIOTT","Sunderland Central",2010-05-06,2020-01-01,"Lab",FALSE,NA,"julieelliott",51
"Jane ELLISON","Battersea",2010-05-06,2020-01-01,"Con",FALSE,NA,"janeellison",52
"Yvonne FOVARGUE","Makerfield",2010-05-06,2020-01-01,"Lab",FALSE,NA,"yvonnefovargue",54
"Lorraine FULLBROOK","South Ribble",2010-05-06,2015-03-30,"Con",FALSE,NA,"lorrainefullbrook",56
"Sheila GILMORE","Edinburgh East",2010-05-06,2015-03-30,"Lab",FALSE,NA,"sheilagilmore",59
"Pat GLASS","North West Durham",2010-05-06,2020-01-01,"Lab",FALSE,NA,"patglass",60
"Mrs Mary GLINDON","North Tyneside",2010-05-06,2020-01-01,"Lab",FALSE,NA,"maryglindon",63
"Mrs Helen GRANT","Maidstone and The Weald",2010-05-06,2020-01-01,"Con",FALSE,NA,"helengrant",66
"Kate GREEN","Stretford and Urmston",2010-05-06,2020-01-01,"Lab",FALSE,NA,"kategreen",67
"Lilian GREENWOOD","Nottingham South",2010-05-06,2020-01-01,"Lab",FALSE,NA,"liliangreenwood",68
"Rebecca HARRIS","Castle Point",2010-05-06,2020-01-01,"Con",FALSE,NA,"rebeccaharris",70
"Julie HILLING","Bolton West",2010-05-06,2015-03-30,"Lab",FALSE,NA,"juliehilling",71
"Margot JAMES","Stourbridge",2010-05-06,2020-01-01,"Con",FALSE,NA,"margotjames",72
"Cathy JAMIESON","Kilmarnock and Loudoun",2010-05-06,2015-03-30,"Lab",FALSE,NA,"cathyjamieson",73
"Susan Elan JONES","Clwyd South",2010-05-06,2020-01-01,"Lab",FALSE,NA,"susanelanjones",74
"Liz KENDALL","Leicester West",2010-05-06,2020-01-01,"Lab",FALSE,NA,"lizkendall",76
"Pauline LATHAM","Mid Derbyshire",2010-05-06,2020-01-01,"Con",FALSE,NA,"paulinelatham",77
"Andrea LEADSOM","South Northamptonshire",2010-05-06,2020-01-01,"Con",FALSE,NA,"andrealeadsom",78
"Jessica LEE","Erewash",2010-05-06,2015-03-30,"Con",FALSE,NA,"jessicalee",79
"Charlotte LESLIE","Bristol North West",2010-05-06,2020-01-01,"Con",FALSE,NA,"charlotteleslie",81
"Naomi LONG","Belfast East",2010-05-06,2015-03-30,"Alliance",FALSE,NA,"naomilong",82
"Caroline LUCAS","Brighton, Pavilion",2010-05-06,2020-01-01,"Green",FALSE,NA,"carolinelucas",86
"Karen LUMLEY","Redditch",2010-05-06,2020-01-01,"Con",FALSE,NA,"karenlumley",88
"Mary MACLEOD","Brentford and Isleworth",2010-05-06,2015-03-30,"Con",FALSE,NA,"marymacleod",91
"Shabana MAHMOOD","Birmingham, Ladywood",2010-05-06,2020-01-01,"Lab",FALSE,NA,"shabanamahmood",92
"Alison MCGOVERN","Wirral South",2010-05-06,2020-01-01,"Lab",FALSE,NA,"alisonmcgovern",94
"Catherine MCKINNELL","Newcastle upon Tyne North",2010-05-06,2020-01-01,"Lab",FALSE,NA,"catherinemckinnell",95
"Rt Hon Esther MCVEY","Wirral West",2010-05-06,2015-03-30,"Con",FALSE,NA,"esthermcvey",96
"Penny MORDAUNT","Portsmouth North",2010-05-06,2020-01-01,"Con",FALSE,NA,"pennymordaunt",97
"Rt Hon Nicky MORGAN","Loughborough",2010-05-06,2020-01-01,"Con",FALSE,NA,"nickymorgan",98
"Anne Marie MORRIS","Newton Abbot",2010-05-06,2020-01-01,"Con",FALSE,NA,"annemariemorris",102
"Tessa MUNT","Wells",2010-05-06,2015-03-30,"LD",FALSE,NA,"tessamunt",103
"Sheryll MURRAY","South East Cornwall",2010-05-06,2020-01-01,"Con",FALSE,NA,"sheryllmurray",104
"Lisa NANDY","Wigan",2010-05-06,2020-01-01,"Lab",FALSE,NA,"lisanandy",105
"Pamela NASH","Airdrie and Shotts",2010-05-06,2015-03-30,"Lab",FALSE,NA,"pamelanash",106
"Sarah NEWTON","Truro and Falmouth",2010-05-06,2020-01-01,"Con",FALSE,NA,"sarahnewton",107
"Caroline NOKES","Romsey and Southampton North",2010-05-06,2020-01-01,"Con",FALSE,NA,"carolinenokes",108
"Fiona O’DONNELL","East Lothian",2010-05-06,2015-03-30,"Lab",FALSE,NA,"fionaodonnell",110
"Chi ONWURAH","Newcastle upon Tyne Central",2010-05-06,2020-01-01,"Lab",FALSE,NA,"chionwurah",112
"Priti PATEL","Witham",2010-05-06,2020-01-01,"Con",FALSE,NA,"pritipatel",113
"Teresa PEARCE","Erith and Thamesmead",2010-05-06,2020-01-01,"Lab",FALSE,NA,"teresapearce",114
"Claire PERRY","Devizes",2010-05-06,2020-01-01,"Con",FALSE,NA,"claireperry",115
"Bridget PHILLIPSON","Houghton and Sunderland South",2010-05-06,2020-01-01,"Lab",FALSE,NA,"bridgetphillipson",118
"Yasmin QURESHI","Bolton South East",2010-05-06,2020-01-01,"Lab",FALSE,NA,"yasminqureshi",119
"Rachel REEVES","Leeds West",2010-05-06,2020-01-01,"Lab",FALSE,NA,"rachelreeves",120
"Emma REYNOLDS","Wolverhampton North East",2010-05-06,2020-01-01,"Lab",FALSE,NA,"emmareynolds",121
"Ms Margaret RITCHIE","South Down",2010-05-06,2020-01-01,"SDLP",FALSE,NA,"margaretritchie",123
"Amber RUDD","Hastings and Rye",2010-05-06,2020-01-01,"Con",FALSE,NA,"amberrudd",126
"Laura SANDYS","South Thanet",2010-05-06,2015-03-30,"Con",FALSE,NA,"laurasandys",128
"Anna SOUBRY","Broxtowe",2010-05-06,2020-01-01,"Con",FALSE,NA,"annasoubry",130
"Rt Hon Elizabeth TRUSS","South West Norfolk",2010-05-06,2020-01-01,"Con",FALSE,NA,"elizabethtruss",131
"Valerie VAZ","Walsall South",2010-05-06,2020-01-01,"Lab",FALSE,NA,"valerievaz",134
"Heather WHEELER","South Derbyshire",2010-05-06,2020-01-01,"Con",FALSE,NA,"heatherwheeler",135
"Dr Eilidh WHITEFORD","Banff and Buchan",2010-05-06,2020-01-01,"SNP",FALSE,NA,"eilidhwhiteford",136
"Dr Sarah WOLLASTON","Totnes",2010-05-06,2020-01-01,"Con",FALSE,NA,"sarahwollaston",137
"Ms Glenda JACKSON","Hampstead and Kilburn",2010-05-06,2015-03-30,"Lab",FALSE,NA,"glendajackson",138
"Rt Hon Hazel BLEARS","Salford and Eccles",2010-05-06,2015-03-30,"Lab",FALSE,NA,"hazelblears",139
"Ms Karen BUCK","Westminster North",2010-05-06,2020-01-01,"Lab",FALSE,NA,"karenbuck",140
"Rt Hon Yvette COOPER","Normanton, Pontefract and Castleford",2010-05-06,2020-01-01,"Lab",FALSE,NA,"yvettecooper",141
"Maria EAGLE","Garston and Halewood",2010-05-06,2020-01-01,"Lab",FALSE,NA,"mariaeagle",142
"Anne McINTOSH","Thirsk And Malton",2010-05-06,2020-01-01,"Con",FALSE,NA,"annemcintosh",143
"Angela WATKINSON","Hornchurch and Upminster",2010-05-06,2020-01-01,"Con",FALSE,NA,"angelawatkinson",144
"Sarah TEATHER","Brent Central",2010-05-06,2015-03-30,"LD",FALSE,NA,"sarahteather",145
"Sharon HODGSON","Washington and Sunderland West",2010-05-06,2020-01-01,"Lab",FALSE,NA,"sharonhodgson",146
"Barbara KEELEY","Worsley and Eccles South",2010-05-06,2020-01-01,"Lab",FALSE,NA,"barbarakeeley",147
"Alison SEABECK","Plymouth, Moor View",2010-05-06,2015-03-30,"Lab",FALSE,NA,"alisonseabeck",148
"Angela C SMITH","Penistone and Stocksbridge",2010-05-06,2020-01-01,"Lab",FALSE,NA,"angelacsmith",149
"Debbie ABRAHAMS","Oldham East and Saddleworth",2011-01-13,2020-01-01,"Lab",TRUE,NA,"debbieabrahams",150
"Seema MALHOTRA","Feltham and Heston",2011-12-15,2020-01-01,"Lab",TRUE,NA,"seemamalhotra",151
"Lucy POWELL","Manchester Central",2012-11-15,2020-01-01,"Lab",TRUE,NA,"lucypowell",3
"Sarah CHAMPION","Rotherham",2012-11-29,2020-01-01,"Lab",TRUE,NA,"sarahchampion",152
"Emma LEWELL-BUCK","South Shields",2013-05-02,2020-01-01,"Lab",TRUE,NA,"emmalewellbuck",153
"Liz MCINNES","Heywood and Middleton",2014-10-09,2020-01-01,"Lab",TRUE,NA,"lizmcinnes",154
"Tasmina AHMED-SHEIKH","Ochil and South Perthshire",2015-05-07,2020-01-01,"SNP",FALSE,NA,"tasminaahmedsheikh",6
"Lucy ALLAN","Telford",2015-05-07,2020-01-01,"Con",FALSE,NA,"lucyallan",8
"Heidi ALLEN","South Cambridgeshire",2015-05-07,2020-01-01,"Con",FALSE,NA,"heidiallen",12
"Caroline ANSELL","Eastbourne",2015-05-07,2020-01-01,"Con",FALSE,NA,"carolineansell",21
"Victoria ATKINS","Louth and Horncastle",2015-05-07,2020-01-01,"Con",FALSE,NA,"victoriaatkins",25
"Hannah BARDELL","Livingston",2015-05-07,2020-01-01,"SNP",FALSE,NA,"hannahbardell",34
"Mhairi BLACK","Paisley and Renfrewshire South",2015-05-07,2020-01-01,"SNP",FALSE,NA,"mhairiblack",35
"Kirsty BLACKMAN","Aberdeen North",2015-05-07,2020-01-01,"SNP",FALSE,NA,"kirstyblackman",37
"Victoria BORWICK","Kensington",2015-05-07,2020-01-01,"Con",FALSE,NA,"victoriaborwick",40
"Deidre BROCK","Edinburgh North and Leith",2015-05-07,2020-01-01,"SNP",FALSE,NA,"deidrebrock",41
"Ruth CADBURY","Brentford and Isleworth",2015-05-07,2020-01-01,"Lab",FALSE,NA,"ruthcadbury",55
"Lisa CAMERON","East Kilbride, Strathaven and Lesmahagow",2015-05-07,2020-01-01,"SNP",FALSE,NA,"lisacameron",56
"Maria CAULFIELD","Lewes",2015-05-07,2020-01-01,"Con",FALSE,NA,"mariacaulfield",59
"Joanna CHERRY","Edinburgh South West",2015-05-07,2020-01-01,"SNP",FALSE,NA,"joannacherry",71
"Jo CHURCHILL","Bury St Edmunds",2015-05-07,2020-01-01,"Con",FALSE,NA,"jochurchill",73
"Julie COOPER","Burnley",2015-05-07,2020-01-01,"Lab",FALSE,NA,"juliecooper",79
"Jo COX","Batley and Spen",2015-05-07,2016-01-01,"Lab",FALSE,NA,"jocox",82
"Angela CRAWLEY","Lanark and Hamilton East",2015-05-07,2020-01-01,"SNP",FALSE,NA,"angelacrawley",90
"Judith CUMMINS","Bradford South",2015-05-07,2020-01-01,"Lab",FALSE,NA,"judithcummins",91
"Mims DAVIES","Eastleigh",2015-05-07,2020-01-01,"Con",FALSE,NA,"mimsdavies",96
"Thangam DEBBONAIRE","Bristol West",2015-05-07,2020-01-01,"Lab",FALSE,NA,"thangamdebbonaire",101
"Michelle DONELAN","Chippenham",2015-05-07,2020-01-01,"Con",FALSE,NA,"michelledonelan",103
"Flick DRUMMOND","Portsmouth South",2015-05-07,2020-01-01,"Con",FALSE,NA,"flickdrummond",106
"Marion FELLOWS","Motherwell and Wishaw",2015-05-07,2020-01-01,"SNP",FALSE,NA,"marionfellows",110
"Suella FERNANDES","Fareham",2015-05-07,2020-01-01,"Con",FALSE,NA,"suellafernandes",124
"Margaret FERRIER","Rutherglen and Hamilton West",2015-05-07,2020-01-01,"SNP",FALSE,NA,"margaretferrier",128
"Colleen FLETCHER","Coventry North East",2015-05-07,2020-01-01,"Lab",FALSE,NA,"colleenfletcher",129
"Vicky FOXCROFT","Lewisham, Deptford",2015-05-07,2020-01-01,"Lab",FALSE,NA,"vickyfoxcroft",132
"Lucy FRAZER","South East Cambridgeshire",2015-05-07,2020-01-01,"Con",FALSE,NA,"lucyfrazer",133
"Nusrat GHANI","Wealden",2015-05-07,2020-01-01,"Con",FALSE,NA,"nusratghani",138
"Patricia GIBSON","North Ayrshire and Arran",2015-05-07,2020-01-01,"SNP",FALSE,NA,"patriciagibson",139
"Margaret GREENWOOD","Wirral West",2015-05-07,2020-01-01,"Lab",FALSE,NA,"margaretgreenwood",145
"Louise HAIGH","Sheffield, Heeley",2015-05-07,2020-01-01,"Lab",FALSE,NA,"louisehaigh",148
"Carolyn HARRIS","Swansea East",2015-05-07,2020-01-01,"Lab",FALSE,NA,"carolynharris",155
"Helen HAYES","Dulwich and West Norwood",2015-05-07,2020-01-01,"Lab",FALSE,NA,"helenhayes",156
"Sue HAYMAN","Workington",2015-05-07,2020-01-01,"Lab",FALSE,NA,"suehayman",157
"Kate HOLLERN","Blackburn",2015-05-07,2020-01-01,"Lab",FALSE,NA,"katehollern",158
"Rupa HUQ","Ealing Central and Acton",2015-05-07,2020-01-01,"Lab",FALSE,NA,"rupahuq",159
"Andrea  JENKYNS","Morley and Outwood",2015-05-07,2020-01-01,"Con",FALSE,NA,"andreajenkyns",160
"Seema KENNEDY","South Ribble",2015-05-07,2020-01-01,"Con",FALSE,NA,"seemakennedy",161
"Rebecca LONG BAILEY","Salford and Eccles",2015-05-07,2020-01-01,"Lab",FALSE,NA,"rebeccalongbailey",162
"Holly LYNCH","Halifax",2015-05-07,2020-01-01,"Lab",FALSE,NA,"hollylynch",163
"Rachael MASKELL","York Central",2015-05-07,2020-01-01,"Lab",FALSE,NA,"rachaelmaskell",164
"Tania MATHIAS","Twickenham",2015-05-07,2020-01-01,"Con",FALSE,NA,"taniamathias",165
"Natalie McGARRY","Glasgow East",2015-05-07,2020-01-01,"SNP",FALSE,NA,"nataliemcgarry",166
"Anne McLAUGHLIN","Glasgow North East",2015-05-07,2020-01-01,"SNP",FALSE,NA,"annemclaughlin",167
"Amanda MILLING","Cannock Chase",2015-05-07,2020-01-01,"Con",FALSE,NA,"amandamilling",168
"Carol MONAGHAN","Glasgow North West",2015-05-07,2020-01-01,"SNP",FALSE,NA,"carolmonaghan",169
"Wendy MORTON","Aldridge-Brownhills",2015-05-07,2020-01-01,"Con",FALSE,NA,"wendymorton",170
"Melanie ONN","Great Grimsby",2015-05-07,2020-01-01,"Lab",FALSE,NA,"melanieonn",171
"Kate OSAMOR","Edmonton",2015-05-07,2020-01-01,"Lab",FALSE,NA,"kateosamor",172
"Kirsten OSWALD","East Renfrewshire",2015-05-07,2020-01-01,"SNP",FALSE,NA,"kirstenoswald",173
"Jess PHILLIPS","Birmingham, Yardley",2015-05-07,2020-01-01,"Lab",FALSE,NA,"jessphillips",174
"Rebecca POW","Taunton Deane",2015-05-07,2020-01-01,"Con",FALSE,NA,"rebeccapow",175
"Victoria PRENTIS","Banbury",2015-05-07,2020-01-01,"Con",FALSE,NA,"victoriaprentis",176
"Angela RAYNER","Ashton-Under-Lyne",2015-05-07,2020-01-01,"Lab",FALSE,NA,"angelarayner",177
"Christina REES","Neath",2015-05-07,2020-01-01,"Lab",FALSE,NA,"christinarees",178
"Marie RIMMER","St Helens South and Whiston",2015-05-07,2020-01-01,"Lab",FALSE,NA,"marierimmer",179
"Mary ROBINSON","Cheadle",2015-05-07,2020-01-01,"Con",FALSE,NA,"maryrobinson",180
"Antoinette SANDBACH","Eddisbury",2015-05-07,2020-01-01,"Con",FALSE,NA,"antoinettesandbach",181
"Liz SAVILLE-ROBERTS","Dwyfor Meirionnydd",2015-05-07,2020-01-01,"PC",FALSE,NA,"lizsavilleroberts",182
"Naz SHAH","Bradford West",2015-05-07,2020-01-01,"Lab",FALSE,NA,"nazshah",183
"Paula SHERRIFF","Dewsbury",2015-05-07,2020-01-01,"Lab",FALSE,NA,"paulasherriff",184
"Tulip SIDDIQ","Hampstead and Kilburn",2015-05-07,2020-01-01,"Lab",FALSE,NA,"tulipsiddiq",185
"Ruth SMEETH","Stoke-On-Trent North",2015-05-07,2020-01-01,"Lab",FALSE,NA,"ruthsmeeth",186
"Cat SMITH","Lancaster and Fleetwood",2015-05-07,2020-01-01,"Lab",FALSE,NA,"catsmith",187
"Karin SMYTH","Bristol South",2015-05-07,2020-01-01,"Lab",FALSE,NA,"karinsmyth",188
"Amanda SOLLOWAY","Derby North",2015-05-07,2020-01-01,"Con",FALSE,NA,"amandasolloway",189
"Jo STEVENS","Cardiff Central",2015-05-07,2020-01-01,"Lab",FALSE,NA,"jostevens",190
"Alison THEWLISS","Glasgow Central",2015-05-07,2020-01-01,"SNP",FALSE,NA,"alisonthewliss",191
"Michelle THOMSON","Edinburgh West",2015-05-07,2020-01-01,"SNP",FALSE,NA,"michellethomson",192
"Maggie THROUP","Erewash",2015-05-07,2020-01-01,"Con",FALSE,NA,"maggiethroup",193
"Kelly TOLHURST","Rochester and Strood",2015-05-07,2020-01-01,"Con",FALSE,NA,"kellytolhurst",194
"Anne-Marie TREVELYAN","Berwick-Upon-Tweed",2015-05-07,2020-01-01,"Con",FALSE,NA,"annemarietrevelyan",195
"Anna TURLEY","Redcar",2015-05-07,2020-01-01,"Lab",FALSE,NA,"annaturley",196
"Catherine WEST","Hornsey and Wood Green",2015-05-07,2020-01-01,"Lab",FALSE,NA,"catherinewest",197
"Helen WHATELY","Faversham and Mid Kent",2015-05-07,2020-01-01,"Con",FALSE,NA,"helenwhately",198
"Philippa WHITFORD","Central Ayrshire",2015-05-07,2020-01-01,"SNP",FALSE,NA,"philippawhitford",199
"Corri WILSON","Ayr, Carrick and Cumnock",2015-05-07,2020-01-01,"SNP",FALSE,NA,"corriwilson",200
"Dawn BUTLER","Brent Central",2015-05-07,2020-01-01,"Lab",FALSE,NA,"dawnbutler",201
"Gill FURNISS","Sheffield, Brightside and Hillsborough",2016-05-05,2020-01-01,"Lab",TRUE,NA,"gillfurniss",82
"Dr Rosena ALLIN-KHAN","Tooting",2016-06-16,2020-01-01,"Lab",TRUE,NA,"rosenaallinkhan",202
"Tracy Brabin","Batley and Spen",2016-10-20,2020-01-01,"Lab",TRUE,NA,"tracybrabin",203
"Sarah Olney","Richmond Park",2016-12-01,2020-01-01,"Lib Dem",TRUE,NA,"saraholney",204
"Caroline Johnson","Sleaford and North Hykeham",2016-12-08,2020-01-01,"Con",TRUE,NA,"carolinejohnson",205
"Trudy Harrison","Copeland",2017-02-23,2020-01-01,"Con",TRUE,NA,"trudyharrison",206
