id,clean_name,wikidata_id
18315,jean mann,Q6171089
18316,leah manning,Q3829225
18367,joan maynard,Q6205279
18369,bernadette devlin,Q2628635
18370,mary mcalister,Q15968427
18388,anna mccurley,Q4767335
18403,margaret mckay,Q16013699
18410,patricia mclaughlin,Q15968114
18486,constance monks,Q5163567
18523,cynthia mosley,Q533649
18599,muriel nichol,Q6938655
18613, noel-buxton,Q6698437
18673,sally oppenheim,Q1533969
18716,florence paton,Q5460742
18763,mabel philipson,Q6721501
18769,mary pickford,Q6778777
18771,edith picton-turbervill,Q5338643
18780,edith pitt,Q5338644
18841,joan quennell,Q6205378
18887,dorothy rees,Q5298607
18927,mabel ridealgh,Q6721510
18988,hilda runciman,Q5761464
18990,norah runge,Q7050227
19116,harriet slater,Q15969400
19241,edith summerskill,Q665743
19242,shirley summerskill,Q7498860
19266,mavis tate,Q6794266
19283,vera terrington,Q7920843
19284,margaret thatcher,Q7416
19376, grant of monymusk,Q7245582
19548,margaret wintringham,Q6760035
19657,beatrice rathbone,Q18922340
19737,sheila wright,Q7493176
19809,helen mcelhone,Q5702814
20335,elizabeth shields,Q5363505
20978,agnes hardie,Q4693048
21022,arabella lawrence,Q7648103
21164,frances graves,Q6766268
21249,helen shaw,Q5701951
21406,marion phillips,Q6765333
21408,mary hamilton,Q6778791
21512,sarah ward,Q7422880
21708,clarice shaw,Q5126940
21748,doris fisher,Q3714285
21754,edith wills,Q5338693
21769,eirene white,Q5349851
21770,eleanor rathbone,Q333992
21789,eveline hill,Q5416253
21802,freda corbet,Q5496643
21845,grace colman,Q5591062
21905,irene ward,Q6069293
21937,jennie lee,Q1686926
21938,joan vickers,Q6205517
21939,joan hall,Q6205083
22020,lucy middleton,Q6698422
22021,margo macdonald,Q334376
22025,mary holt,Q6779785
22029,megan lloyd george,Q6808694
22042,millie miller,Q6859600
22059,oonagh mcdonald,Q7095360
22487,barbara gould,Q4858727
22504,ellen wilkinson,Q332751
22505,joan davidson,Q5478591
22525,mervyn pike,Q6820932
22530,jill knight,Q337162
22541,joyce butler,Q16012745
22552,renée short,Q7313013
22612,edwina currie,Q1660170
22624,elizabeth peacock,Q13530019
22641,mildred gordon,Q6850973
22642,maureen hicks,Q6792693
22646,emma nicholson,Q334097
22652,angela knight,Q4762477
22654,olga maitland,Q6470476
24691,chloe smith,Q333680
24709,bridget phillipson,Q575337
24710,julie elliott,Q303011
24711,jenny chapman,Q269638
24719,jane ellison,Q303157
24720,susan elan jones,Q750381
24723,fiona o'donnell,Q576615
24725,karen bradley,Q264560
