id,full_name,party,gender,state,congressional terminology_x,congressional terminology_y,government budget_x,government budget_y,agriculture_x,agriculture_y,border enforcement_x,border enforcement_y,trade policy_x,trade policy_y,military_x,military_y,foreign policy_x,foreign policy_y,financial sector_x,financial sector_y,iraq & afghanistan wars_x,iraq & afghanistan wars_y,sports_x,sports_y,drugs war_x,drugs war_y,veteran affairs_x,veteran affairs_y,energy policy_x,energy policy_y,tobacco_x,tobacco_y,african-americans_x,african-americans_y,environment_x,environment_y,infrastructure & transportation_x,infrastructure & transportation_y,arts_x,arts_y,human rights in china_x,human rights in china_y,secondary education_x,secondary education_y,homeland security_x,homeland security_y,natural disasters_x,natural disasters_y,affordable housing_x,affordable housing_y,worker's rights_x,worker's rights_y,child welfare_x,child welfare_y,healthcare_x,healthcare_y
M000687,Kweisi Mfume,Democrat,0,MD,-18.999,30.214,-25.753,3.482,-159.014,0.000,-5.173,2.129,-175.599,0.375,-3.861,2.087,-52.166,2.511,-141.648,1.071,-195.703,0.801,-89.877,1.821,-16.349,1.168,-40.359,1.714,-207.997,0.000,-9.910,0.527,-5.000,9.216,-77.348,0.200,-97.850,0.414,-908.527,0.000,-429.780,0.185,-114.149,1.276,-64.726,2.916,-27.261,1.139,-30.263,0.915,-61.025,1.768,-114.575,1.351,-15.978,10.270
M000725,George Miller,Democrat,0,CA,-22.103,34.714,-13.374,5.341,-4.341,1.582,-5.600,2.693,-20.020,1.690,-73.036,1.315,-61.332,1.487,-61.694,1.934,-118.831,0.952,-111.579,0.716,-88.277,0.685,-38.948,2.786,-79.365,1.674,-844.302,0.007,-82.218,2.353,-1.416,6.004,-64.794,1.520,-532.646,0.185,-10.140,0.848,-2.999,5.789,-39.245,1.708,-220.687,0.680,-250.362,0.305,-5.089,4.938,-14.985,3.643,-22.088,6.750
M000794,Norman Mineta,Democrat,0,CA,-1.000,69.214,-19.599,2.371,-47.280,1.371,-101.108,0.714,-21.933,1.641,-45.914,3.241,-63.842,1.194,-26.393,1.006,-81.668,0.409,-183.552,0.210,-487.537,0.185,-20.446,4.751,-1.000,0.482,-230.033,0.185,-35.920,5.154,-7.000,4.726,-1.000,7.929,-550.647,0.205,-508.324,0.000,-55.103,1.216,-32.273,4.096,-24.448,1.940,-212.020,0.324,-47.786,0.397,-217.760,0.560,-4.467,3.048
M000795,David Minge,Democrat,0,MN,-15.376,42.644,-11.000,16.500,-1.000,9.643,-104.196,0.246,-36.719,1.690,-24.979,3.532,-30.208,1.837,-7.238,2.474,-64.776,2.294,-97.896,0.366,-219.734,0.000,-7.971,1.271,-17.862,2.462,-114.866,0.213,-69.569,1.070,-25.038,2.528,-22.563,2.614,-424.192,0.354,-509.324,0.185,-29.327,0.737,-70.263,2.053,-75.436,1.444,-107.450,0.782,-137.961,0.325,-152.793,0.069,-7.923,3.906
M000811,George Mitchell,Democrat,0,ME,-1.000,123.000,-13.467,3.190,-18.058,1.557,-56.361,0.550,-16.799,4.076,-15.803,1.477,-22.048,3.150,-124.658,0.408,-26.268,2.800,-9.716,0.000,-67.846,0.116,-16.656,2.664,-28.817,0.272,-274.434,0.141,-53.357,0.901,-14.644,1.170,-66.005,0.000,-179.403,0.000,-15.045,1.223,-68.040,1.047,-85.548,0.000,-152.030,0.104,-212.018,0.102,-70.632,0.932,-97.617,0.000,-27.074,7.927
M000834,John Moakley,Democrat,0,MA,-26.433,51.214,-24.610,7.524,-113.551,0.634,-55.947,2.057,-55.924,2.162,-8.734,4.328,-1.000,3.136,-4.090,0.841,-85.755,1.004,-204.246,0.119,-49.872,0.850,-47.096,2.143,-86.948,0.507,-11.636,0.637,-26.512,2.405,-7.667,1.354,-89.048,1.183,-496.112,0.356,-17.027,0.691,-103.232,1.243,-47.354,2.063,-289.190,0.305,-44.167,1.372,-69.259,2.379,-24.183,1.313,-10.155,8.605
M000844,Alan Mollohan,Democrat,0,WV,-1.000,125.786,-2.959,3.546,-206.828,0.209,-44.223,1.575,-15.642,3.114,-51.122,3.650,-88.138,0.394,-145.734,0.207,-147.617,1.063,-20.858,0.424,-447.498,0.371,-4.462,1.274,-1.000,1.327,-337.142,0.000,-21.121,1.210,-9.000,4.726,-108.551,1.095,-1.000,0.531,-108.264,0.344,-53.543,0.665,-30.780,3.675,-198.633,0.686,-9.756,2.431,-45.869,0.705,-138.092,0.307,-2.931,1.033
M000865,Gillespie Montgomery,Democrat,0,MS,-8.999,46.714,-35.205,1.573,-282.560,0.148,-63.954,2.068,-110.668,0.165,-1.000,12.857,-8.837,2.099,-63.908,0.459,-69.678,0.854,-57.656,0.365,-624.165,0.000,-8.999,29.571,-4.717,0.344,-700.091,0.000,-24.058,3.167,-150.786,0.367,-21.854,3.009,-983.247,0.000,-273.509,0.000,-101.261,0.489,-71.423,0.978,-99.833,1.175,-208.373,0.641,-33.526,0.000,-17.907,0.179,-12.357,8.116
M000933,James Moran,Democrat,0,VA,-2.998,36.214,-29.635,6.214,-124.722,0.745,-30.061,1.862,-49.215,2.501,-20.654,5.786,-1.000,5.119,-70.171,1.702,-146.370,1.230,-83.619,0.614,-93.822,0.651,-17.942,3.883,-63.769,1.775,-190.462,0.186,-33.734,3.363,-6.012,3.177,-18.835,1.855,-79.371,0.466,-43.047,1.412,-99.921,1.705,-30.735,5.190,-10.525,1.116,-144.527,0.963,-11.304,1.463,-35.881,1.891,-8.999,12.000
M001054,Daniel Moynihan,Democrat,0,NY,-23.376,42.643,-1.000,3.227,-176.751,0.423,-64.123,1.693,-24.628,1.363,-56.438,3.015,-5.000,9.218,-192.306,0.363,-12.083,3.452,-13.613,0.399,-61.093,0.000,-9.829,4.518,-175.359,0.083,-23.969,0.850,-2.999,10.071,-70.046,1.027,-70.808,0.607,-777.171,0.017,-10.411,0.419,-3.000,9.000,-71.609,1.596,-126.921,0.000,-227.679,0.593,-82.998,0.465,-38.083,2.175,-14.448,15.859
M001088,Austin Murphy,Democrat,0,PA,-1.000,109.714,-2.913,7.337,-112.001,0.000,-121.611,0.120,-30.969,0.193,-44.972,0.000,-4.223,0.000,-22.299,1.481,-1.000,0.000,-14.264,0.191,-60.765,0.211,-31.557,0.000,-5.513,0.000,-161.625,0.150,-55.248,1.431,-2.771,2.618,-8.971,4.076,-196.091,0.185,-171.991,0.146,-20.954,4.295,-5.972,0.358,-29.039,0.090,-74.597,0.000,-22.235,2.866,-154.307,0.209,-1.629,6.006
M001120,John Murtha,Democrat,0,PA,-8.999,27.643,-2.717,3.333,-60.218,0.215,-58.124,1.682,-109.291,1.561,-7.000,39.000,-10.999,7.932,-23.710,0.151,-6.995,4.286,-53.705,1.112,-232.573,0.371,-8.999,17.357,-86.353,0.875,-514.841,0.185,-28.918,5.562,-119.164,0.211,-77.373,1.102,-314.829,0.180,-253.399,0.321,-40.345,0.918,-52.930,0.912,-188.514,0.771,-404.040,0.307,-38.804,0.513,-157.710,0.279,-8.563,7.474
M001137,Gregory Meeks,Democrat,0,NY,-8.997,16.287,-10.978,2.855,-1.000,0.482,-100.563,1.750,-1.000,11.143,-63.641,1.463,-7.000,10.500,-33.997,2.782,-12.401,2.395,-45.836,1.195,-23.353,0.963,-37.175,2.179,-115.928,0.411,-674.416,0.002,-2.576,4.772,-1.000,0.464,-58.197,1.015,-49.830,0.411,-25.411,1.279,-43.173,2.431,-2.721,3.384,-71.303,1.899,-12.841,1.515,-107.719,1.801,-53.235,0.943,-13.588,5.978
M001140,Dennis Moore,Democrat,0,KS,-1.000,20.357,-2.995,8.154,-4.156,0.470,-45.292,2.348,-88.782,1.486,-44.677,1.641,-74.267,1.391,-11.139,2.886,-182.670,0.969,-52.462,2.478,-534.916,0.140,-28.586,5.642,-97.610,1.379,-326.524,0.371,-9.960,5.756,-122.276,0.687,-153.012,0.909,-302.354,0.185,-296.701,0.329,-31.838,4.075,-14.315,4.373,-142.130,1.154,-53.713,0.635,-83.645,0.834,-82.516,1.684,-8.348,8.748
M001141,Zell Miller,Democrat,0,GA,-8.999,0.000,-28.439,0.000,-110.505,0.142,-53.362,0.000,-10.201,0.000,-46.952,0.026,-6.227,0.000,-65.995,0.093,-44.061,0.000,-16.880,0.000,-46.446,0.000,-4.525,0.000,-4.698,0.126,-152.199,0.000,-13.626,0.024,-35.276,0.000,-14.205,0.170,-218.072,0.000,-170.539,0.000,-17.284,0.353,-21.003,0.183,-1.000,0.000,-72.853,0.104,-47.840,0.000,-16.896,0.000,-11.000,19.929
M001142,Jim Matheson,Democrat,0,UT,-11.369,19.043,-2.985,7.123,-100.366,1.183,-89.183,0.000,-62.389,1.655,-10.670,5.573,-60.618,1.688,-28.936,2.617,-166.872,1.105,-150.361,0.961,-67.290,0.555,-34.108,7.500,-6.973,3.892,-143.195,0.185,-12.093,3.087,-10.999,7.500,-3.028,2.094,-505.563,0.371,-391.525,0.151,-58.041,2.540,-12.988,6.864,-206.880,0.870,-154.931,0.802,-92.617,0.204,-17.269,1.882,-18.005,13.714
M001146,James Marshall,Democrat,0,GA,-18.502,21.429,-49.233,1.479,-109.808,0.784,-106.169,0.548,-70.525,1.031,-21.529,7.499,-2.756,5.649,-4.999,5.786,-79.818,1.963,-1.592,2.752,-224.610,0.043,-11.000,18.214,-58.137,1.163,-308.647,0.371,-8.979,3.324,-113.598,0.732,-106.626,1.037,-220.073,0.000,-65.571,0.773,-16.145,3.084,-26.223,1.117,-137.866,0.422,-6.088,1.267,-40.990,1.105,-163.349,0.059,-14.811,4.986
M001148,Kendrick Meek,Democrat,0,FL,-14.991,11.143,-16.997,10.714,-178.597,0.100,-133.980,1.352,-102.671,1.290,-59.120,2.386,-21.709,1.977,-253.460,0.429,-10.995,4.500,-180.390,0.473,-346.874,0.000,-13.383,7.050,-26.527,1.769,-241.365,0.000,-37.984,2.956,-82.222,0.000,-20.183,0.550,-366.381,0.000,-286.101,0.185,-43.372,1.472,-30.621,1.924,-21.876,2.189,-477.534,0.162,-105.747,1.837,-112.932,1.228,-11.381,4.550
M001149,Michael Michaud,Democrat,0,ME,-1.000,10.716,-9.258,1.343,-57.982,0.753,-98.688,0.000,-6.999,5.152,-52.525,2.547,-58.036,1.958,-50.865,0.667,-170.993,0.495,-3.738,0.610,-92.247,0.519,-20.998,16.929,-145.619,0.484,-273.649,0.339,-102.989,2.786,-157.846,0.936,-17.603,2.414,-106.846,0.371,-153.518,0.667,-106.930,1.526,-48.151,1.492,-186.782,0.879,-74.249,0.683,-70.907,2.502,-148.634,0.420,-22.037,9.857
M001154,R. Miller,Democrat,0,NC,-6.998,22.929,-11.638,4.787,-106.833,0.313,-6.811,2.522,-82.407,1.176,-19.489,0.822,-2.882,2.295,-1.000,15.857,-28.269,1.635,-159.014,1.069,-359.206,0.185,-17.541,7.576,-46.566,2.277,-66.066,0.229,-8.999,8.357,-93.293,1.127,-125.099,0.703,-85.674,0.479,-454.402,0.160,-33.257,3.566,-79.357,2.238,-75.775,1.655,-2.981,2.420,-4.997,5.152,-187.537,0.683,-8.874,6.237
M001161,Charles Melancon,Democrat,0,LA,-7.778,14.432,-6.644,7.333,-19.256,2.850,-96.054,0.884,-79.648,1.414,-26.021,2.155,-5.074,3.135,-66.361,2.199,-167.288,0.656,-58.535,1.961,-25.213,0.000,-17.600,3.500,-1.000,9.643,-455.616,0.165,-4.569,4.002,-1.000,2.005,-14.060,0.912,-485.345,0.000,-310.190,0.185,-11.814,0.977,-10.974,0.551,-1.000,17.357,-64.100,1.066,-161.131,1.050,-183.287,0.375,-36.761,6.214
M001164,Tim Mahoney,Democrat,0,FL,-16.803,12.643,-17.850,6.277,-31.973,1.971,-2.504,0.589,-44.807,0.000,-20.914,2.026,-9.466,2.661,-6.997,4.928,-4.997,4.723,-132.951,1.194,-292.970,0.143,-2.998,21.429,-19.387,3.643,-355.295,0.000,-62.253,1.846,-28.377,2.765,-138.214,0.227,-503.563,0.000,-168.537,0.000,-53.336,1.317,-39.078,1.337,-12.281,3.094,-1.000,7.500,-36.218,2.248,-88.697,0.965,-6.572,8.173
M001166,Jerry McNerney,Democrat,0,CA,-1.000,17.800,-14.663,2.577,-6.999,4.300,-12.262,0.467,-97.428,0.192,-38.159,2.288,-78.775,1.589,-6.856,0.525,-91.244,1.266,-47.702,1.118,-190.550,0.347,-6.999,14.143,-1.000,8.357,-288.591,0.207,-59.506,4.148,-10.999,6.857,-63.563,2.218,-117.560,0.371,-285.101,0.000,-31.047,3.193,-7.000,8.143,-57.844,1.154,-47.681,1.369,-85.036,1.562,-104.158,1.256,-10.150,12.658
M001167,Harry Mitchell,Democrat,0,AZ,-1.000,5.357,-56.178,2.823,-167.911,0.000,-27.435,0.967,-99.430,0.190,-67.111,2.373,-7.368,2.724,-95.159,1.256,-111.836,1.232,-5.000,4.929,-236.573,0.371,-12.999,16.286,-100.666,1.421,-590.005,0.214,-12.925,3.282,-58.399,2.074,-171.504,0.893,-94.986,0.560,-222.221,0.340,-4.999,5.574,-43.062,3.417,-164.285,1.174,-7.847,0.947,-105.223,1.457,-164.482,0.411,-10.657,8.380
M001168,Patrick Murphy,Democrat,0,PA,-9.000,7.500,-41.416,4.014,-212.186,0.211,-151.339,0.606,-138.942,0.356,-27.990,3.717,-21.320,3.551,-159.038,0.806,-8.995,4.500,-69.969,1.306,-450.830,0.201,-9.000,26.357,-229.201,0.333,-490.524,0.000,-22.041,5.769,-43.269,0.672,-155.991,0.919,-580.716,0.235,-390.108,0.000,-2.705,3.741,-7.000,8.357,-115.351,1.176,-301.322,0.000,-40.023,1.605,-28.049,0.560,-2.930,8.831
M001169,Christopher Murphy,Democrat,0,CT,-3.000,6.643,-6.998,9.219,-114.013,0.207,-118.481,0.782,-12.692,1.105,-38.678,2.705,-26.796,2.815,-38.622,1.526,-2.093,3.333,-24.126,0.538,-345.323,0.135,-8.964,8.154,-9.540,3.679,-899.145,0.007,-60.491,1.745,-47.973,1.072,-129.608,0.278,-438.534,0.185,-123.127,0.318,-31.341,1.108,-80.816,1.822,-190.411,0.413,-78.967,1.080,-67.437,2.474,-135.673,1.283,-5.000,39.857
M001171,Daniel Maffei,Democrat,0,NY,-19.183,14.361,-20.827,5.334,-157.262,0.322,-63.042,1.876,-130.721,1.253,-13.660,3.092,-26.372,4.724,-2.999,5.786,-144.767,0.385,-9.018,3.685,-318.194,0.000,-27.034,8.358,-1.000,1.552,-564.339,0.203,-1.000,8.788,-18.350,0.763,-71.344,2.014,-343.232,0.000,-340.281,0.371,-22.419,2.126,-28.240,4.262,-148.511,0.745,-47.686,0.725,-1.000,3.208,-64.437,0.317,-14.998,16.286
M001173,Eric Massa,Democrat,0,NY,-8.999,5.571,-53.618,0.854,-276.919,0.245,-26.213,0.409,-4.598,0.746,-1.000,21.000,-14.571,2.948,-54.789,0.159,-7.986,0.192,-180.140,0.254,-11.325,0.186,-2.999,17.357,-1.000,26.357,-140.192,0.000,-3.000,9.000,-156.173,0.612,-3.719,3.892,-245.241,0.336,-328.092,0.129,-83.986,0.613,-31.540,5.786,-231.169,0.503,-81.264,0.557,-51.397,0.210,-146.825,0.512,-12.029,1.936
M001174,Michael McMahon,Democrat,0,NY,-8.999,9.000,-9.059,0.367,-34.858,0.201,-187.140,0.429,-8.616,3.918,-35.996,3.698,-1.000,21.429,-47.928,2.413,-118.339,0.743,-102.487,1.163,-556.758,0.136,-5.000,18.214,-20.392,3.121,-267.932,0.185,-18.122,4.189,-62.873,0.204,-7.913,1.268,-443.537,0.000,-16.378,1.985,-72.856,1.227,-38.618,1.999,-1.000,4.080,-523.224,0.229,-19.907,1.110,-224.992,0.625,-7.921,4.120
M001175,Walter Minnick,Democrat,0,ID,-10.999,15.429,-12.779,2.505,-136.852,0.855,-16.090,0.067,-7.146,0.480,-48.803,0.544,-58.275,0.159,-1.000,6.647,-91.793,0.251,-14.246,3.498,-145.668,0.424,-1.000,29.571,-3.905,0.774,-196.387,0.371,-54.642,4.023,-3.000,8.357,-7.036,0.711,-478.117,0.162,-1.000,4.929,-5.000,7.074,-75.548,0.001,-25.298,1.182,-70.771,0.894,-136.211,0.680,-123.713,0.878,-8.033,1.747
M001178,Scott Murphy,Democrat,0,NY,-4.993,23.364,-30.630,1.604,-250.871,0.187,-9.687,0.000,-85.244,0.000,-7.342,1.340,-54.982,0.000,-1.000,8.571,-38.320,0.102,-7.432,2.884,-305.494,0.371,-1.000,33.214,-6.494,3.129,-591.739,0.321,-17.123,1.187,-37.235,0.000,-19.890,1.672,-106.846,0.000,-166.730,0.087,-120.369,1.187,-13.346,3.606,-155.410,0.968,-162.055,0.856,-19.787,0.667,-158.843,0.630,-11.000,17.357
M001185,Sean Maloney,Democrat,0,NY,-14.530,12.859,-11.347,1.662,-24.519,1.066,-71.066,1.878,-6.627,2.292,-70.739,1.496,-17.693,4.544,-198.835,0.684,-190.625,0.460,-24.773,0.330,-196.250,0.550,-2.998,14.143,-48.051,0.868,-787.611,0.000,-38.265,4.766,-47.806,2.235,-58.019,2.069,-415.955,0.371,-11.473,1.416,-36.327,0.176,-3.000,7.287,-14.278,3.076,-142.923,0.635,-39.520,2.492,-62.317,1.090,-36.076,7.500
M001191,Patrick Murphy,Democrat,0,FL,-24.998,16.286,-19.073,4.215,-45.567,1.483,-69.381,0.000,-6.838,1.262,-24.150,2.915,-17.245,3.180,-12.995,4.071,-139.692,0.222,-17.061,2.227,-352.931,0.000,-15.000,19.929,-119.968,0.000,-322.441,0.365,-66.166,1.202,-14.997,5.786,-8.670,2.203,-499.320,0.185,-98.964,0.772,-8.931,1.277,-41.241,1.697,-1.000,2.851,-201.448,0.446,-78.534,1.356,-105.039,0.176,-14.999,18.214
M001196,Seth Moulton,Democrat,0,MA,-22.490,19.500,-57.452,3.223,-178.493,0.529,-77.199,0.089,-132.251,0.709,-4.999,14.786,-3.201,9.644,-15.622,3.191,-68.837,1.443,-96.041,0.456,-375.857,0.399,-3.000,24.643,-119.371,0.489,-1.000,0.054,-17.576,0.389,-144.393,0.295,-20.637,2.236,-423.960,0.000,-430.780,0.371,-71.639,2.059,-1.000,12.857,-89.491,1.397,-149.698,0.891,-83.011,1.037,-21.937,0.179,-8.485,8.111
M001200,A. McEachin,Democrat,0,VA,-6.998,27.000,-12.666,1.276,-236.271,0.000,-79.803,1.788,-39.636,0.000,-27.168,0.230,-1.000,2.359,-21.112,1.066,-138.251,0.603,-62.648,0.176,-272.013,0.000,-13.193,3.309,-54.096,2.049,-363.697,0.000,-5.000,13.286,-7.000,10.286,-81.423,0.013,-173.372,0.369,-88.688,0.356,-31.324,0.365,-7.958,0.733,-261.054,0.763,-23.279,1.108,-20.614,2.741,-30.489,1.325,-14.999,14.143
N000002,Jerrold Nadler,Democrat,0,NY,-3.000,37.071,-11.528,5.424,-128.197,0.317,-65.820,2.448,-42.208,0.699,-38.865,3.084,-27.676,5.782,-50.839,2.107,-152.999,1.154,-30.695,0.771,-421.237,0.185,-30.977,2.804,-156.093,0.329,-880.478,0.000,-45.440,1.835,-123.840,0.821,-30.651,2.257,-4.581,1.174,-34.355,1.273,-61.936,1.457,-10.294,5.824,-87.602,1.324,-17.007,2.591,-72.579,1.476,-130.357,1.359,-14.917,13.285
N000009,William Natcher,Democrat,0,KY,-7.000,67.714,-39.219,0.000,-6.999,4.085,-5.750,0.000,-89.237,0.000,-34.912,3.133,-20.737,0.000,-11.544,0.255,-133.165,0.442,-3.000,7.714,-4.451,0.104,-23.768,3.064,-116.412,0.201,-128.970,0.107,-22.491,0.656,-57.771,2.440,-52.433,1.651,-21.803,0.000,-164.904,0.000,-28.142,4.165,-31.475,1.065,-3.000,4.081,-15.921,1.996,-12.307,0.000,-26.917,0.000,-32.824,0.000
N000015,Richard Neal,Democrat,0,MA,-24.939,35.571,-8.999,12.214,-89.282,0.256,-157.706,0.969,-37.516,2.337,-48.381,0.334,-37.012,1.562,-13.322,2.050,-187.869,1.184,-11.376,2.877,-344.351,0.322,-22.401,4.796,-99.021,0.618,-22.076,0.675,-2.936,6.410,-14.772,0.957,-128.887,0.840,-530.450,0.171,-91.696,0.841,-14.871,2.441,-58.144,1.448,-167.849,0.531,-6.053,1.486,-37.855,2.372,-28.241,1.680,-10.998,12.214
N000016,Stephen Neal,Democrat,0,NC,-7.000,60.214,-8.225,0.172,-101.443,0.000,-17.902,3.487,-2.737,0.000,-50.912,0.034,-45.205,0.197,-1.000,28.929,-159.018,0.227,-183.275,0.000,-37.370,0.526,-30.557,0.185,-58.730,0.175,-125.524,0.108,-45.898,0.000,-1.000,0.249,-5.789,1.636,-48.285,0.547,-163.065,0.083,-1.843,0.000,-19.554,5.767,-49.912,0.000,-33.700,0.930,-14.463,0.363,-23.941,0.177,-28.824,0.000
N000127,Richard Nolan,Democrat,0,MN,-12.503,21.424,-37.273,5.786,-133.381,1.069,-117.263,1.565,-4.569,3.523,-1.000,3.440,-31.082,4.245,-76.513,0.868,-91.444,1.481,-83.497,1.302,-172.725,0.261,-20.424,6.815,-148.956,0.496,-55.667,0.658,-7.052,3.266,-21.467,2.722,-6.971,4.072,-458.824,0.000,-307.186,0.000,-32.835,2.801,-46.503,3.030,-266.600,0.490,-335.400,0.185,-6.990,4.492,-155.441,0.560,-19.950,8.559
N000171,Samuel Nunn,Democrat,0,GA,-7.000,83.143,-6.665,7.547,-83.368,0.698,-109.300,0.088,-99.121,1.734,-1.000,41.786,-6.998,6.859,-93.048,0.851,-4.996,4.508,-63.667,0.362,-316.402,0.382,-16.664,2.879,-224.972,0.362,-123.800,0.000,-4.498,0.538,-135.072,0.371,-68.628,1.128,-9.656,0.000,-218.754,0.078,-46.368,0.545,-12.006,0.000,-16.279,3.124,-284.817,0.371,-53.356,0.000,-120.770,0.000,-6.725,1.448
N000183,Glenn Nye,Democrat,0,VA,-8.998,17.357,-43.008,1.277,-135.151,0.103,-63.387,0.000,-29.741,0.539,-1.000,14.357,-1.000,8.357,-4.998,4.931,-90.223,0.118,-65.652,0.000,-7.790,0.126,-1.000,34.714,-14.875,0.593,-121.799,0.000,-1.000,1.829,-14.863,0.741,-88.430,0.411,-527.248,0.000,-161.222,0.000,-16.027,0.186,-8.997,7.501,-44.166,2.229,-8.955,2.628,-48.548,2.020,-130.953,0.000,-27.531,3.069
N000188,Donald Norcross,Democrat,0,NJ,-26.530,12.857,-15.353,0.787,-375.343,0.214,-144.982,0.353,-155.617,0.265,-77.439,1.709,-7.476,0.964,-124.880,0.000,-32.914,0.156,-20.264,1.204,-209.550,0.599,-7.000,23.357,-74.221,1.738,-293.170,0.180,-15.634,5.290,-21.408,1.443,-89.011,1.752,-675.230,0.123,-97.361,0.644,-66.528,3.214,-57.227,1.638,-136.134,0.315,-252.017,0.000,-1.000,7.071,-159.221,0.419,-18.324,3.050
O000006,James Oberstar,Democrat,0,MN,-6.999,40.714,-27.957,2.096,-14.554,0.908,-98.170,1.193,-52.082,1.771,-25.530,7.500,-25.445,1.131,-44.722,1.110,-56.525,0.745,-111.527,0.459,-67.607,0.343,-11.433,2.559,-73.364,1.932,-140.730,0.205,-37.182,3.464,-29.455,4.073,-1.000,13.714,-180.402,0.185,-531.525,0.000,-12.964,0.610,-3.000,11.786,-3.156,2.721,-315.265,0.398,-45.529,1.349,-51.028,0.660,-40.664,3.000
O000007,David Obey,Democrat,0,WI,-3.000,91.286,-1.000,12.857,-7.772,1.361,-98.785,1.652,-93.566,1.239,-7.050,5.980,-27.139,2.604,-223.148,0.347,-20.271,2.772,-37.816,0.208,-385.316,0.345,-2.723,1.382,-70.773,0.486,-604.705,0.185,-14.262,0.972,-154.165,0.866,-130.390,0.699,-413.857,0.364,-357.772,0.376,-61.549,2.333,-27.022,2.110,-178.243,0.749,-249.199,0.650,-113.439,1.239,-85.395,0.955,-2.727,4.227
O000085,John Olver,Democrat,0,MA,-1.000,57.643,-4.998,9.215,-122.929,1.068,-32.504,1.128,-36.969,1.903,-7.941,2.570,-9.968,6.445,-127.949,0.656,-1.000,1.934,-46.685,0.933,-296.459,0.371,-4.462,3.205,-5.443,3.321,-903.145,0.000,-30.091,2.544,-4.116,2.777,-4.999,5.786,-502.942,0.311,-187.550,0.641,-9.411,1.485,-32.455,1.838,-105.144,1.126,-1.000,4.297,-28.339,2.952,-38.481,1.390,-14.530,8.384
O000107,Solomon Ortiz,Democrat,0,TX,-1.000,10.071,-21.945,1.669,-84.929,0.837,-73.333,2.232,-21.457,3.078,-1.000,18.214,-35.909,3.474,-247.460,0.429,-118.855,1.443,-14.986,4.071,-145.979,0.636,-1.000,17.786,-71.652,0.906,-513.841,0.000,-22.939,5.552,-35.641,2.409,-65.175,1.093,-18.464,0.236,-30.950,1.047,-62.566,3.179,-4.664,2.957,-54.281,1.330,-163.831,0.751,-111.977,1.092,-121.597,1.399,-10.483,6.894
O000108,William Orton,Democrat,0,UT,-9.000,57.643,-1.000,24.000,-95.359,0.995,-67.379,0.370,-102.320,0.000,-24.600,0.437,-38.120,0.181,-16.492,3.634,-52.687,2.518,-71.370,0.328,-18.313,0.000,-47.298,0.857,-22.086,0.537,-552.448,0.345,-27.699,1.847,-103.504,1.662,-59.263,1.784,-372.711,0.000,-248.204,0.000,-96.270,1.049,-23.018,4.124,-78.673,0.180,-1.000,3.440,-57.395,0.366,-26.821,2.281,-21.654,5.000
O000159,Major Owens,Democrat,0,NY,-8.988,10.721,-4.999,13.714,-128.187,0.960,-2.120,4.342,-14.990,2.205,-21.181,3.992,-35.676,5.786,-86.386,1.037,-158.888,0.459,-80.091,0.408,-163.075,0.213,-29.040,2.970,-123.136,0.342,-282.378,0.000,-1.000,11.786,-67.239,0.719,-164.999,1.117,-729.672,0.185,-460.585,0.330,-3.000,9.643,-61.379,3.001,-11.817,1.278,-132.077,0.680,-11.000,6.000,-2.966,2.883,-4.458,4.549
O000169,William Owens,Democrat,0,NY,-2.975,12.663,-18.167,1.528,-9.366,0.798,-102.369,0.158,-19.349,1.314,-4.431,2.580,-65.469,1.718,-59.003,1.698,-82.273,1.053,-13.000,4.714,-7.607,1.472,-1.000,27.643,-1.000,0.708,-114.866,0.427,-14.388,5.970,-135.645,0.948,-1.114,2.032,-728.669,0.000,-447.858,0.167,-84.766,2.373,-5.000,8.145,-65.664,1.677,-60.658,0.420,-109.285,1.354,-110.360,0.119,-16.135,12.642
O000170,Beto O’Rourke,Democrat,0,TX,-5.000,6.000,-22.300,1.881,-117.495,0.000,-3.000,5.789,-3.000,4.725,-5.006,4.122,-68.341,1.493,-21.298,0.493,-149.838,0.548,-24.869,1.481,-341.772,0.371,-1.000,24.000,-209.998,0.000,-317.350,0.185,-6.078,3.454,-1.000,4.510,-115.671,0.346,-806.237,0.178,-385.521,0.371,-56.352,2.426,-6.768,6.409,-11.114,2.920,-120.158,0.316,-9.589,1.573,-228.078,0.352,-26.099,2.033
O000171,Tom O’Halleran,Democrat,0,AZ,-25.289,19.072,-2.946,0.206,-171.223,0.872,-80.598,0.799,-25.428,0.367,-42.760,0.345,-33.297,0.380,-75.784,0.668,-76.954,1.009,-71.654,1.191,-35.955,0.000,-8.945,10.078,-65.710,1.721,-520.620,0.000,-28.534,0.590,-7.029,2.992,-20.541,4.068,-33.823,0.129,-539.526,0.000,-59.937,2.868,-11.289,4.906,-61.920,0.000,-3.000,5.143,-19.882,3.208,-1.000,7.714,-14.998,15.429
P000034,Frank Pallone,Democrat,0,NJ,-1.000,19.093,-16.974,9.642,-196.156,0.442,-115.148,1.019,-30.406,2.474,-37.443,1.687,-5.000,11.571,-12.130,0.462,-63.758,1.600,-36.586,0.640,-274.012,0.371,-9.702,1.594,-60.423,1.676,-560.708,0.211,-67.383,1.507,-74.242,1.489,-178.160,0.722,-915.516,0.185,-79.293,0.903,-92.961,1.491,-19.113,1.984,-4.491,0.674,-125.381,0.212,-168.076,1.141,-23.212,1.502,-5.000,47.786
