id,full_name,party,gender,state,congressional terminology_x,congressional terminology_y,government budget_x,government budget_y,agriculture_x,agriculture_y,border enforcement_x,border enforcement_y,trade policy_x,trade policy_y,military_x,military_y,foreign policy_x,foreign policy_y,financial sector_x,financial sector_y,iraq & afghanistan wars_x,iraq & afghanistan wars_y,sports_x,sports_y,drugs war_x,drugs war_y,veteran affairs_x,veteran affairs_y,energy policy_x,energy policy_y,tobacco_x,tobacco_y,african-americans_x,african-americans_y,environment_x,environment_y,infrastructure & transportation_x,infrastructure & transportation_y,arts_x,arts_y,human rights in china_x,human rights in china_y,secondary education_x,secondary education_y,homeland security_x,homeland security_y,natural disasters_x,natural disasters_y,affordable housing_x,affordable housing_y,worker's rights_x,worker's rights_y,child welfare_x,child welfare_y,healthcare_x,healthcare_y
A000364,John Adler,Democrat,0,NJ,-11.000,6.214,-41.219,0.000,-148.879,0.894,-125.190,0.315,-145.026,0.023,-30.239,1.737,-72.367,0.209,-12.998,4.929,-69.160,0.211,-7.017,3.679,-575.875,0.000,-1.000,30.214,-230.053,0.000,-118.331,0.428,-53.609,1.758,-49.253,1.420,-159.626,0.483,-11.393,0.101,-352.209,0.186,-7.687,2.423,-42.159,1.507,-58.477,1.594,-7.121,3.019,-28.605,1.401,-144.765,0.844,-17.948,5.496
A000371,Pete Aguilar,Democrat,0,CA,-2.998,10.495,-44.658,0.416,-21.495,1.338,-121.934,0.763,-101.897,0.548,-27.035,4.760,-37.308,0.968,-72.556,0.803,-160.630,0.354,-133.099,0.765,-142.217,0.441,-8.640,6.221,-12.542,0.872,-644.819,0.020,-20.967,5.589,-8.027,3.181,-1.000,5.578,-13.133,0.000,-333.689,0.000,-49.688,1.953,-47.590,3.840,-6.855,2.463,-197.986,0.000,-1.000,6.429,-169.783,0.442,-20.918,13.286
A000373,Brad Ashford,Democrat,0,NE,-1.000,6.000,-14.758,1.595,-33.237,1.383,-104.346,0.460,-87.193,1.880,-36.864,3.089,-63.834,2.105,-54.923,1.060,-72.827,0.398,-42.240,1.679,-297.459,0.185,-7.000,24.643,-135.290,0.417,-605.706,0.000,-9.318,2.887,-104.948,0.397,-145.404,1.288,-39.668,0.653,-20.722,0.203,-60.042,1.987,-3.865,1.471,-271.751,0.354,-475.646,0.233,-70.158,0.562,-189.017,0.539,-18.289,9.648
B000008,James Bacchus,Democrat,0,FL,-4.523,22.361,-1.000,11.786,-17.557,0.000,-14.286,0.161,-5.000,5.583,-31.861,4.095,-28.329,2.953,-13.518,0.303,-14.276,2.774,-2.919,2.917,-602.166,0.006,-25.035,8.353,-14.556,0.000,-17.091,0.110,-31.209,2.352,-50.079,2.711,-2.999,6.857,-15.133,0.000,-19.725,2.221,-43.428,2.218,-60.124,1.059,-17.206,0.192,-503.534,0.318,-62.202,0.664,-36.598,1.315,-12.638,1.506
B000028,Henry Baesler,Democrat,0,KY,-20.998,16.500,-12.987,8.143,-1.000,6.857,-86.358,0.623,-50.447,1.897,-68.320,0.659,-78.556,1.376,-152.629,0.293,-18.343,0.897,-33.142,2.265,-568.673,0.000,-14.985,1.058,-15.856,0.157,-3.000,2.571,-32.092,2.544,-79.355,0.193,-90.370,1.021,-337.419,0.090,-50.278,0.546,-32.379,1.666,-38.475,3.624,-2.802,2.510,-96.533,1.092,-132.775,0.633,-3.000,4.929,-38.706,3.972
B000081,John Baldacci,Democrat,0,ME,-21.388,29.571,-23.822,5.743,-1.000,5.797,-141.523,0.330,-55.313,1.515,-76.061,1.057,-55.565,1.023,-123.738,1.480,-2.773,2.427,-1.000,0.501,-140.437,0.342,-25.902,4.089,-8.465,3.092,-43.320,0.861,-31.357,0.811,-24.961,3.216,-28.562,2.627,-27.514,0.714,-431.781,0.185,-25.265,3.606,-9.248,3.522,-34.658,2.353,-70.577,1.137,-23.470,1.532,-106.003,1.164,-8.998,15.429
B000134,James Barcia,Democrat,0,MI,-7.654,10.069,-48.032,0.580,-12.985,1.901,-33.511,1.899,-127.011,0.626,-39.836,1.412,-48.437,0.988,-171.899,0.583,-21.970,0.708,-54.836,2.118,-433.900,0.343,-6.864,5.807,-10.070,0.355,-470.650,0.349,-8.999,7.929,-30.288,2.445,-88.119,1.944,-768.175,0.185,-303.184,0.371,-7.379,3.204,-5.000,10.714,-2.398,1.011,-91.677,0.713,-70.192,1.505,-6.199,1.725,-4.445,5.194
B000151,Thomas Barlow,Democrat,0,KY,-1.000,17.357,-20.530,4.363,-3.000,6.214,-4.999,5.786,-8.420,3.103,-29.284,0.188,-31.294,0.378,-4.377,3.316,-205.761,0.614,-138.216,0.000,-23.487,0.103,-20.350,0.727,-8.298,1.222,-29.195,0.764,-8.170,3.967,-12.991,4.500,-39.898,3.112,-673.595,0.000,-264.606,0.213,-13.161,3.379,-40.759,0.214,-29.231,1.094,-269.784,0.213,-22.396,4.074,-25.210,1.499,-10.998,15.429
B000177,Thomas Barrett,Democrat,0,WI,-19.888,24.686,-5.711,5.996,-126.458,0.638,-49.484,2.423,-51.193,0.911,-27.034,0.650,-42.948,2.592,-82.601,1.536,-195.537,1.069,-129.179,1.405,-33.797,1.600,-32.168,5.090,-84.981,0.466,-698.090,0.000,-7.000,9.857,-4.625,0.243,-87.701,0.769,-348.753,0.185,-251.667,0.428,-65.794,1.571,-55.996,1.085,-200.547,0.346,-26.661,1.338,-55.893,1.626,-56.575,1.858,-4.621,10.448
B000243,Max Baucus,Democrat,0,MT,-2.998,49.071,-4.946,0.208,-38.527,1.487,-40.600,3.214,-1.000,6.012,-58.351,1.161,-100.707,0.810,-81.895,1.336,-26.442,1.727,-24.108,0.000,-73.724,1.082,-8.008,0.628,-7.445,3.318,-25.916,0.103,-1.000,0.404,-5.000,8.143,-157.811,1.073,-537.649,0.000,-36.061,1.386,-6.999,6.428,-1.000,10.931,-41.877,2.004,-196.313,0.113,-2.466,0.727,-22.943,0.000,-9.445,1.292
